Matrixsizexsize(random),Time(s),equalsround1e-6
10,0.0003563,true
10,0.0007398,true
10,0.0008183,true
10,0.0008239,true
10,0.0010289,true
10,0.0007751,true
10,0.000648,true
10,0.000855,true
10,0.0007904,true
10,0.000705,true
10,0.0009257,true
10,0.0008273,true
10,0.0006271,true
10,0.0007977,true
10,0.0007644,true
10,0.0007784,true
10,0.0006998,true
10,0.000702,true
10,0.0008408,true
10,0.0006231,true
10,0.0007249,true
10,0.0006192,true
10,0.0011562,true
10,0.0006121,true
10,0.0006045,true
10,0.0009077,true
10,0.0008268,true
10,0.000842,true
10,0.0007713,true
10,0.0006808,true
10,0.0007557,true
10,0.0006596,true
10,0.0009189,true
10,0.0008591,true
10,0.0006203,true
10,0.0006144,true
10,0.0007133,true
10,0.0007476,true
10,0.0006958,true
10,0.0006878,true
10,0.0007809,true
10,0.0006458,true
10,0.0009222,true
10,0.0008015,true
10,0.0008573,true
10,0.0008974,true
10,0.0009127,true
10,0.0011515,true
10,0.000929,true
10,0.0009305,true
10,0.0008596,true
10,0.0009063,true
10,0.0009975,true
10,0.0009547,true
10,0.0009634,true
10,0.0008656,true
10,0.000938,true
10,0.0009906,true
10,0.0010206,true
10,0.0009332,true
10,0.0007976,true
10,0.0009807,true
10,0.0008727,true
10,0.0010031,true
10,0.0045031,true
10,0.0009341,true
10,0.0008656,true
10,0.0009741,true
10,0.0008137,true
10,0.0008065,true
10,0.0009864,true
10,0.0007985,true
10,0.0008158,true
10,0.000917,true
10,0.0008227,true
10,0.0008762,true
10,0.0008494,true
10,0.0008618,true
10,0.0007758,true
10,0.0008777,true
10,0.000928,true
10,0.0009189,true
10,0.0007724,true
10,0.0008343,true
10,0.0009937,true
10,0.0008317,true
10,0.0054183,true
10,0.0008244,true
10,0.0008329,true
10,0.0014031,true
10,0.002933,true
10,0.0008717,true
10,0.0010313,true
10,0.0009852,true
10,0.0012082,true
10,0.0009486,true
10,0.0008641,true
10,0.0007979,true
10,0.0008459,true
10,0.0008016,true
10,0.00097,true
15,0.0008129,true
15,0.0008233,true
15,0.0008549,true
15,0.00113,true
15,0.0009268,true
15,0.000961,true
15,0.0009466,true
15,0.0010635,true
15,0.0008148,true
15,0.0009767,true
15,0.0010999,true
15,0.0008086,true
15,0.000877,true
15,0.0010836,true
15,0.0009289,true
15,0.0008695,true
15,0.0008147,true
15,0.001072,true
15,0.0008539,true
15,0.0009187,true
15,0.0008201,true
15,0.0010932,true
15,0.0008347,true
15,0.0009361,true
15,0.0008698,true
15,0.0008491,true
15,0.0008368,true
15,0.0008644,true
15,0.0008545,true
15,0.0009591,true
15,0.0009684,true
15,0.0009432,true
15,0.0008511,true
15,0.0008091,true
15,0.0008429,true
15,0.0008895,true
15,0.0008662,true
15,0.0008113,true
15,0.0009677,true
15,0.0008154,true
15,0.000854,true
15,0.0013279,true
15,0.0008166,true
15,0.0010494,true
15,0.0010462,true
15,0.000837,true
15,0.0008159,true
15,0.0024098,true
15,0.0008779,true
15,0.0009523,true
15,0.0011707,true
15,0.0009037,true
15,0.0011544,true
15,0.0008316,true
15,0.0009256,true
15,0.0012325,true
15,0.0010623,true
15,0.0008125,true
15,0.0010346,true
15,0.0008396,true
15,0.0008226,true
15,0.0009961,true
15,0.0008717,true
15,0.0009316,true
15,0.0007936,true
15,0.0010686,true
15,0.0015229,true
15,0.0012574,true
15,0.0009296,true
15,0.0008826,true
15,0.0010204,true
15,0.0008443,true
15,0.0009949,true
15,0.0008311,true
15,0.0009365,true
15,0.0009473,true
15,0.0008069,true
15,0.0009457,true
15,0.0008986,true
15,0.0007884,true
15,0.0010284,true
15,0.0007992,true
15,0.001017,true
15,0.0008116,true
15,0.0008781,true
15,0.0013476,true
15,0.0011033,true
15,0.0008545,true
15,0.0009342,true
15,0.0010575,true
15,0.0009241,true
15,0.0008492,true
15,0.0008722,true
15,0.0011019,true
15,0.0009269,true
15,0.0008156,true
15,0.0008597,true
15,0.0009754,true
15,0.0009168,true
15,0.000935,true
20,0.0008401,true
20,0.0008654,true
20,0.0009193,true
20,0.0008907,true
20,0.0011004,true
20,0.0008389,true
20,0.0009138,true
20,0.0008786,true
20,0.0008896,true
20,0.0008771,true
20,0.0009351,true
20,0.0008268,true
20,0.0008275,true
20,0.0010803,true
20,0.0009911,true
20,0.0008236,true
20,0.0011509,true
20,0.0008299,true
20,0.0010197,true
20,0.0008318,true
20,0.0008212,true
20,0.0008772,true
20,0.0011704,true
20,0.0009571,true
20,0.0008734,true
20,0.0010608,true
20,0.0008328,true
20,0.0009779,true
20,0.0008303,true
20,0.0010308,true
20,0.0010061,true
20,0.0009239,true
20,0.0008205,true
20,0.0009546,true
20,0.0009413,true
20,0.0011343,true
20,0.0008299,true
20,0.0008776,true
20,0.0015088,true
20,0.0008896,true
20,0.0016273,true
20,0.0010462,true
20,0.000849,true
20,0.0009341,true
20,0.0010406,true
20,0.0008358,true
20,0.0008325,true
20,0.0010992,true
20,0.0008468,true
20,0.0008257,true
20,0.0010002,true
20,0.0008401,true
20,0.0009136,true
20,0.00106,true
20,0.0008816,true
20,0.0009243,true
20,0.0009175,true
20,0.0009114,true
20,0.0009389,true
20,0.000869,true
20,0.0010416,true
20,0.0008608,true
20,0.0008465,true
20,0.0009399,true
20,0.0008517,true
20,0.0008315,true
20,0.0011884,true
20,0.0008342,true
20,0.0008293,true
20,0.0008555,true
20,0.0008267,true
20,0.0010837,true
20,0.0011001,true
20,0.0008693,true
20,0.0008278,true
20,0.0009368,true
20,0.0012203,true
20,0.0009118,true
20,0.0010556,true
20,0.0009064,true
20,0.0008878,true
20,0.000964,true
20,0.0009236,true
20,0.0013878,true
20,0.0008168,true
20,0.0008598,true
20,0.0009383,true
20,0.0008567,true
20,0.0010135,true
20,0.0008146,true
20,0.0009218,true
20,0.0008402,true
20,0.0009801,true
20,0.0008568,true
20,0.0010908,true
20,0.0010477,true
20,0.000835,true
20,0.0064005,true
20,0.0009733,true
20,0.0010225,true
25,0.0011808,true
25,0.0008307,true
25,0.0009861,true
25,0.0010642,true
25,0.0011302,true
25,0.0012403,true
25,0.0009526,true
25,0.0008393,true
25,0.000984,true
25,0.0009233,true
25,0.0009584,true
25,0.0012706,true
25,0.0008821,true
25,0.0008821,true
25,0.0008481,true
25,0.0011322,true
25,0.0009497,true
25,0.0009144,true
25,0.0008959,true
25,0.0010024,true
25,0.0011993,true
25,0.0010436,true
25,0.00083,true
25,0.0010649,true
25,0.0009462,true
25,0.000896,true
25,0.0013931,true
25,0.0009413,true
25,0.0011597,true
25,0.000855,true
25,0.0008426,true
25,0.0011274,true
25,0.0012015,true
25,0.0009973,true
25,0.0009907,true
25,0.0008539,true
25,0.0011287,true
25,0.0010135,true
25,0.0010055,true
25,0.0008821,true
25,0.0013365,true
25,0.0009615,true
25,0.0008431,true
25,0.0010903,true
25,0.000975,true
25,0.0009312,true
25,0.001062,true
25,0.0008375,true
25,0.0010613,true
25,0.0010432,true
25,0.0008298,true
25,0.0011693,true
25,0.0014422,true
25,0.0009942,true
25,0.0008892,true
25,0.0009036,true
25,0.0009393,true
25,0.0009348,true
25,0.0008536,true
25,0.0008342,true
25,0.0009769,true
25,0.0009963,true
25,0.0008724,true
25,0.001032,true
25,0.0008818,true
25,0.001163,true
25,0.0008671,true
25,0.0010024,true
25,0.0008839,true
25,0.0009854,true
25,0.0008261,true
25,0.0010218,true
25,0.001018,true
25,0.0011102,true
25,0.0010388,true
25,0.0010525,true
25,0.000952,true
25,0.0010682,true
25,0.0012694,true
25,0.0010282,true
25,0.0008643,true
25,0.0009881,true
25,0.000883,true
25,0.0009487,true
25,0.0010092,true
25,0.0017773,true
25,0.0012066,true
25,0.00086,true
25,0.0009,true
25,0.0009055,true
25,0.0010406,true
25,0.0008542,true
25,0.0010457,true
25,0.0011779,true
25,0.0009289,true
25,0.0008727,true
25,0.0011383,true
25,0.000868,true
25,0.0010078,true
