Matrixsizexsize(random),Time(s),equalsround1e-6
100,0.02,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.01,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.01,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.02,true
100,0.01,true
100,0.01,true
100,0.02,true
100,0.01,true
100,0.01,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.02,true
105,0.01,true
105,0.02,true
105,0.02,true
105,0.01,true
105,0.02,true
105,0.02,true
110,0.02,true
110,0.03,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.03,true
110,0.03,true
110,0.03,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.03,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.02,true
110,0.02,true
115,0.02,true
115,0.03,true
115,0.03,true
115,0.02,true
115,0.02,true
115,0.02,true
115,0.02,true
115,0.03,true
115,0.02,true
115,0.02,true
115,0.03,true
115,0.03,true
115,0.03,true
115,0.03,true
115,0.03,true
115,0.02,true
115,0.03,true
115,0.02,true
115,0.02,true
115,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.03,true
120,0.02,true
120,0.02,true
120,0.02,true
120,0.03,true
120,0.04,true
120,0.03,true
120,0.03,true
120,0.02,true
120,0.02,true
120,0.03,true
120,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
125,0.03,true
130,0.04,true
130,0.03,true
130,0.03,true
130,0.05,true
130,0.04,true
130,0.03,true
130,0.04,true
130,0.03,true
130,0.04,true
130,0.03,true
130,0.03,true
130,0.03,true
130,0.04,true
130,0.03,true
130,0.04,true
130,0.03,true
130,0.04,true
130,0.04,true
130,0.04,true
130,0.04,true
135,0.03,true
135,0.04,true
135,0.04,true
135,0.03,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.03,true
135,0.03,true
135,0.03,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
135,0.04,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.05,true
140,0.04,true
140,0.05,true
140,0.04,true
140,0.05,true
140,0.04,true
140,0.05,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.04,true
140,0.05,true
140,0.04,true
140,0.05,true
145,0.05,true
145,0.05,true
145,0.04,true
145,0.05,true
145,0.05,true
145,0.05,true
145,0.05,true
145,0.04,true
145,0.05,true
145,0.04,true
145,0.05,true
145,0.05,true
145,0.05,true
145,0.05,true
145,0.05,true
145,0.04,true
145,0.05,true
145,0.04,true
145,0.05,true
145,0.04,true
150,0.05,true
150,0.06,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.06,true
150,0.06,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
150,0.05,true
155,0.06,true
155,0.06,true
155,0.06,true
155,0.05,true
155,0.06,true
155,0.06,true
155,0.06,true
155,0.05,true
155,0.05,true
155,0.06,true
155,0.06,true
155,0.06,true
155,0.05,true
155,0.06,true
155,0.05,true
155,0.06,true
155,0.05,true
155,0.06,true
155,0.06,true
155,0.06,true
160,0.07,true
160,0.06,true
160,0.06,true
160,0.06,true
160,0.06,true
160,0.07,true
160,0.07,true
160,0.06,true
160,0.07,true
160,0.06,true
160,0.06,true
160,0.06,true
160,0.07,true
160,0.06,true
160,0.06,true
160,0.07,true
160,0.06,true
160,0.06,true
160,0.06,true
160,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.06,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
165,0.07,true
170,0.08,true
170,0.08,true
170,0.07,true
170,0.09,true
170,0.08,true
170,0.08,true
170,0.08,true
170,0.07,true
170,0.08,true
170,0.08,true
170,0.07,true
170,0.08,true
170,0.08,true
170,0.07,true
170,0.07,true
170,0.08,true
170,0.08,true
170,0.08,true
170,0.08,true
170,0.07,true
175,0.09,true
175,0.08,true
175,0.09,true
175,0.09,true
175,0.09,true
175,0.08,true
175,0.09,true
175,0.1,true
175,0.08,true
175,0.08,true
175,0.11,true
175,0.08,true
175,0.08,true
175,0.08,true
175,0.08,true
175,0.09,true
175,0.09,true
175,0.09,true
175,0.09,true
