Matrixsizexsize(random),Time(s),equalsround1e-6
10,1.7334e-05,true
10,3.3775e-05,true
10,3.4155e-05,true
10,2.4166e-05,true
10,1.8285e-05,true
10,4.1539e-05,true
10,3.7011e-05,true
10,1.7954e-05,true
10,2.7042e-05,true
10,5.1398e-05,true
10,4.4205e-05,true
10,2.2292e-05,true
10,1.8195e-05,true
10,2.2483e-05,true
10,2.2242e-05,true
10,1.7975e-05,true
10,1.8355e-05,true
10,2.2644e-05,true
10,2.2693e-05,true
10,2.2503e-05,true
10,2.2814e-05,true
10,2.2763e-05,true
10,2.2493e-05,true
10,2.9106e-05,true
10,2.7222e-05,true
10,3.2752e-05,true
10,2.6912e-05,true
10,3.3765e-05,true
10,4.3142e-05,true
10,5.1168e-05,true
10,4.3212e-05,true
10,3.3894e-05,true
10,3.0609e-05,true
10,2.3825e-05,true
10,1.8456e-05,true
10,6.1378e-05,true
10,2.2283e-05,true
10,2.2643e-05,true
10,2.3064e-05,true
10,2.2413e-05,true
10,1.8285e-05,true
10,3.9445e-05,true
10,1.7904e-05,true
10,2.2363e-05,true
10,2.2683e-05,true
10,2.2824e-05,true
10,2.2623e-05,true
10,1.8035e-05,true
10,2.2433e-05,true
10,3.11e-05,true
10,2.2493e-05,true
10,2.2663e-05,true
10,2.2783e-05,true
10,2.2333e-05,true
10,2.2493e-05,true
10,2.2713e-05,true
10,2.2513e-05,true
10,2.0339e-05,true
10,1.6621e-05,true
10,2.2593e-05,true
10,1.7434e-05,true
10,2.2944e-05,true
10,1.2814e-05,true
10,1.2244e-05,true
10,2.0339e-05,true
10,1.1191e-05,true
10,1.072e-05,true
10,1.019e-05,true
10,1.2424e-05,true
10,1.6953e-05,true
10,1.1772e-05,true
10,1.083e-05,true
10,1.7574e-05,true
10,1.7653e-05,true
10,9.698e-06,true
10,9.337e-06,true
10,1.9938e-05,true
10,1.9558e-05,true
10,9.919e-06,true
10,8.657e-06,true
10,1.3596e-05,true
10,1.2213e-05,true
10,1.3395e-05,true
10,1.0781e-05,true
10,1.2774e-05,true
10,1.085e-05,true
10,9.398e-06,true
10,1.1011e-05,true
10,8.877e-06,true
10,8.947e-06,true
10,1.3535e-05,true
10,1.2364e-05,true
10,2.0248e-05,true
10,1.1142e-05,true
10,9.358e-06,true
10,1.4207e-05,true
10,1.553e-05,true
10,9.027e-06,true
10,8.777e-06,true
10,1.1382e-05,true
10,9.017e-06,true
15,3.1289e-05,true
15,4.4825e-05,true
15,5.5987e-05,true
15,6.2429e-05,true
15,2.5899e-05,true
15,5.1147e-05,true
15,3.1199e-05,true
15,3.2522e-05,true
15,6.3521e-05,true
15,2.9938e-05,true
15,3.5287e-05,true
15,2.6951e-05,true
15,4.0588e-05,true
15,2.7963e-05,true
15,2.5749e-05,true
15,3.153e-05,true
15,2.5719e-05,true
15,2.8344e-05,true
15,6.9273e-05,true
15,7.0554e-05,true
15,3.7722e-05,true
15,4.2932e-05,true
15,5.1138e-05,true
15,4.0297e-05,true
15,2.9517e-05,true
15,3.5418e-05,true
15,6.0936e-05,true
15,6.4142e-05,true
15,2.9286e-05,true
15,3.5377e-05,true
15,2.7713e-05,true
15,3.6079e-05,true
15,6.4373e-05,true
15,2.8925e-05,true
15,3.9746e-05,true
15,4.3854e-05,true
15,4.0237e-05,true
15,3.5668e-05,true
15,4.1068e-05,true
15,3.8343e-05,true
15,5.4303e-05,true
15,4.4755e-05,true
15,3.64e-05,true
15,2.9086e-05,true
15,3.5938e-05,true
15,3.5227e-05,true
15,5.9754e-05,true
15,7.6075e-05,true
15,3.4586e-05,true
15,3.5418e-05,true
15,3.2122e-05,true
15,3.8273e-05,true
15,3.5708e-05,true
15,2.8044e-05,true
15,4.0467e-05,true
15,2.9166e-05,true
15,3.0529e-05,true
15,3.5367e-05,true
15,3.4245e-05,true
15,2.9115e-05,true
15,7.1947e-05,true
15,3.0598e-05,true
15,3.3534e-05,true
15,3.3183e-05,true
15,3.3184e-05,true
15,7.869e-05,true
15,6.3592e-05,true
15,4.4976e-05,true
15,4.0427e-05,true
15,3.0588e-05,true
15,2.9857e-05,true
15,2.9656e-05,true
15,2.9657e-05,true
15,3.9776e-05,true
15,4.4965e-05,true
15,2.8564e-05,true
15,3.5337e-05,true
15,2.8404e-05,true
15,3.5498e-05,true
15,2.9647e-05,true
15,2.8755e-05,true
15,3.5057e-05,true
15,3.4836e-05,true
15,4.9724e-05,true
15,4.2391e-05,true
15,7.7899e-05,true
15,3.5808e-05,true
15,3.8483e-05,true
15,2.9085e-05,true
15,2.9205e-05,true
15,5.1398e-05,true
15,6.9072e-05,true
15,2.9616e-05,true
15,2.9567e-05,true
15,3.8062e-05,true
15,2.9687e-05,true
15,4.5166e-05,true
15,4.9024e-05,true
15,3.2973e-05,true
15,7.8279e-05,true
20,6.5314e-05,true
20,6.5985e-05,true
20,6.7429e-05,true
20,6.5384e-05,true
20,8.1656e-05,true
20,7.8691e-05,true
20,0.000141089,true
20,6.7649e-05,true
20,6.5475e-05,true
20,9.978e-05,true
20,7.1386e-05,true
20,0.00015189,true
20,0.000107244,true
20,6.4203e-05,true
20,6.2669e-05,true
20,8.2458e-05,true
20,8.2939e-05,true
20,7.3049e-05,true
20,6.7859e-05,true
20,6.4844e-05,true
20,7.877e-05,true
20,6.3872e-05,true
20,8.5503e-05,true
20,0.000100391,true
20,0.000100512,true
20,0.000133886,true
20,6.5696e-05,true
20,8.3961e-05,true
20,7.5484e-05,true
20,6.6858e-05,true
20,6.3381e-05,true
20,8.1345e-05,true
20,6.8421e-05,true
20,0.000107204,true
20,6.5685e-05,true
20,0.000121943,true
20,0.000127343,true
20,8.9291e-05,true
20,6.7408e-05,true
20,0.000127453,true
20,8.4922e-05,true
20,0.000163552,true
20,0.000128055,true
20,9.5132e-05,true
20,6.5475e-05,true
20,8.1746e-05,true
20,7.1316e-05,true
20,6.9383e-05,true
20,7.7107e-05,true
20,0.000116142,true
20,8.0674e-05,true
20,6.5495e-05,true
20,8.2177e-05,true
20,0.000144947,true
20,0.000124838,true
20,0.000171708,true
20,6.6106e-05,true
20,6.7088e-05,true
20,6.7048e-05,true
20,6.3842e-05,true
20,6.6046e-05,true
20,6.5505e-05,true
20,8.9311e-05,true
20,6.7209e-05,true
20,8.6635e-05,true
20,7.5254e-05,true
20,6.7549e-05,true
20,8.3479e-05,true
20,0.00013116,true
20,6.7309e-05,true
20,7.0906e-05,true
20,6.801e-05,true
20,0.000139917,true
20,6.6286e-05,true
20,6.6828e-05,true
20,6.804e-05,true
20,6.782e-05,true
20,0.00014657,true
20,6.7198e-05,true
20,6.7249e-05,true
20,7.9302e-05,true
20,0.000135499,true
20,9.5653e-05,true
20,6.8701e-05,true
20,6.7949e-05,true
20,6.7469e-05,true
20,0.000106172,true
20,6.6617e-05,true
20,0.000102946,true
20,6.8181e-05,true
20,6.7379e-05,true
20,6.7119e-05,true
20,6.7819e-05,true
20,9.8067e-05,true
20,9.8108e-05,true
20,0.000108848,true
20,7.6556e-05,true
20,6.8952e-05,true
20,0.000104359,true
20,8.378e-05,true
25,0.000213357,true
25,0.000211053,true
25,0.000130098,true
25,0.000129357,true
25,0.000165226,true
25,0.000143053,true
25,0.000167179,true
25,0.000139918,true
25,0.000150217,true
25,0.0002305,true
25,0.000168612,true
25,0.000158673,true
25,0.000138614,true
25,0.000132032,true
25,0.000142352,true
25,0.000168261,true
25,0.000169994,true
25,0.000173632,true
25,0.000205873,true
25,0.00016238,true
25,0.00017262,true
25,0.000144656,true
25,0.000140939,true
25,0.000149335,true
25,0.000261609,true
25,0.000147672,true
25,0.000174944,true
25,0.000158543,true
25,0.000160897,true
25,0.000160376,true
25,0.000155236,true
25,0.000161748,true
25,0.000344758,true
25,0.000162691,true
25,0.000141319,true
25,0.000134327,true
25,0.000141049,true
25,0.000140197,true
25,0.000168191,true
25,0.000142642,true
25,0.000192227,true
25,0.000142793,true
25,0.000174012,true
25,0.00016736,true
25,0.000152912,true
25,0.000140839,true
25,0.000164884,true
25,0.00014649,true
25,0.000139026,true
25,0.00028284,true
25,0.00014166,true
25,0.000144426,true
25,0.000170736,true
25,0.000164955,true
25,0.000147532,true
25,0.000141851,true
25,0.000139807,true
25,0.000131491,true
25,0.000168732,true
25,0.000155196,true
25,0.000147342,true
25,0.000163432,true
25,0.000139927,true
25,0.000136861,true
25,0.000132833,true
25,0.000139045,true
25,0.000143745,true
25,0.000173361,true
25,0.000194721,true
25,0.000149996,true
25,0.000178471,true
25,0.000138965,true
25,0.00013616,true
25,0.000138975,true
25,0.00013105,true
25,0.00014106,true
25,0.000151289,true
25,0.000135398,true
25,0.000137423,true
25,0.000164494,true
25,0.000142502,true
25,0.00014147,true
25,0.000173632,true
25,0.000139186,true
25,0.000141109,true
25,0.000150498,true
25,0.000132332,true
25,0.000151028,true
25,0.000143745,true
25,0.000148623,true
25,0.000159945,true
25,0.000137642,true
25,0.00014172,true
25,0.000139546,true
25,0.000137983,true
25,0.000174934,true
25,0.000146539,true
25,0.000136922,true
25,0.000142442,true
25,0.000134698,true
30,0.000196525,true
30,0.000231793,true
30,0.000365558,true
30,0.00029351,true
30,0.000275897,true
30,0.000367432,true
30,0.000226091,true
30,0.000307978,true
30,0.00022035,true
30,0.000232574,true
30,0.00023047,true
30,0.000241041,true
30,0.000234778,true
30,0.000245038,true
30,0.000233065,true
30,0.000224178,true
30,0.000223577,true
30,0.000243494,true
30,0.000241711,true
30,0.000229989,true
30,0.000286106,true
30,0.000250058,true
30,0.000228366,true
30,0.000262411,true
30,0.000236672,true
30,0.00028801,true
30,0.000238516,true
30,0.000227845,true
30,0.000279804,true
30,0.000240008,true
30,0.000304462,true
30,0.000224508,true
30,0.000253765,true
30,0.000237463,true
30,0.000245548,true
30,0.000229759,true
30,0.000226172,true
30,0.000234197,true
30,0.000247132,true
30,0.000290244,true
30,0.000233485,true
30,0.000243846,true
30,0.000281056,true
30,0.000294322,true
30,0.000241901,true
30,0.000286516,true
30,0.00023044,true
30,0.000233004,true
30,0.000233466,true
30,0.000389834,true
30,0.000229919,true
30,0.000240869,true
30,0.000227524,true
30,0.000231713,true
30,0.000243645,true
30,0.000304671,true
30,0.000292829,true
30,0.000242983,true
30,0.000234868,true
30,0.000228827,true
30,0.000240899,true
30,0.000258233,true
30,0.000251099,true
30,0.000246079,true
30,0.000574626,true
30,0.000459988,true
30,0.000315182,true
30,0.00023066,true
30,0.000240299,true
30,0.000237123,true
30,0.000227343,true
30,0.000237453,true
30,0.000320782,true
30,0.000242472,true
30,0.000248243,true
30,0.000243534,true
30,0.000324209,true
30,0.000381388,true
30,0.00023071,true
30,0.000235079,true
30,0.000228366,true
30,0.000240319,true
30,0.000231702,true
30,0.000239286,true
30,0.000232473,true
30,0.000244326,true
30,0.000226953,true
30,0.00024623,true
30,0.000240279,true
30,0.000203227,true
30,0.000234257,true
30,0.000232704,true
30,0.000244667,true
30,0.00023025,true
30,0.000231301,true
30,0.000407668,true
30,0.000233926,true
30,0.000227574,true
30,0.000426404,true
30,0.000232694,true
35,0.000370868,true
35,0.000374294,true
35,0.000661362,true
35,0.000368222,true
35,0.000728349,true
35,0.000362632,true
35,0.000377149,true
35,0.000540361,true
35,0.000369355,true
35,0.000378563,true
35,0.000416404,true
35,0.000375857,true
35,0.000429981,true
35,0.00038259,true
35,0.000359796,true
35,0.0003931,true
35,0.000449428,true
35,0.00037199,true
35,0.000373061,true
35,0.000371819,true
35,0.000357342,true
35,0.000716667,true
35,0.00036157,true
35,0.000370176,true
35,0.000374705,true
35,0.00036673,true
35,0.000407577,true
35,0.0003827,true
35,0.000372671,true
35,0.000381057,true
35,0.000395325,true
35,0.000359756,true
35,0.000367851,true
35,0.000370046,true
35,0.000371619,true
35,0.000421955,true
35,0.000381648,true
35,0.000369104,true
35,0.000375055,true
35,0.000397118,true
35,0.000365968,true
35,0.000369495,true
35,0.000442815,true
35,0.000650581,true
35,0.000376508,true
35,0.000376148,true
35,0.000559077,true
35,0.000457052,true
35,0.00038254,true
35,0.000391337,true
35,0.000428227,true
35,0.00036652,true
35,0.00037716,true
35,0.000380286,true
35,0.000362531,true
35,0.000364957,true
35,0.000376399,true
35,0.000380125,true
35,0.000430051,true
35,0.000435411,true
35,0.000438918,true
35,0.000369224,true
35,0.000731636,true
35,0.000377791,true
35,0.000449248,true
35,0.000406586,true
35,0.000439368,true
35,0.000837417,true
35,0.000557073,true
35,0.000415934,true
35,0.000420042,true
35,0.000626315,true
35,0.000370968,true
35,0.000385345,true
35,0.000445791,true
35,0.000436533,true
35,0.0003985,true
35,0.000534019,true
35,0.000473734,true
35,0.000378612,true
35,0.000381658,true
35,0.000384965,true
35,0.000625503,true
35,0.000538267,true
35,0.000383502,true
35,0.000365197,true
35,0.000390185,true
35,0.00039278,true
35,0.000375987,true
35,0.000449628,true
35,0.00048246,true
35,0.000371689,true
35,0.000474095,true
35,0.000380185,true
35,0.000386097,true
35,0.00043538,true
35,0.000843339,true
35,0.000380616,true
35,0.000367962,true
35,0.000370236,true
40,0.000563765,true
40,0.000553386,true
40,0.000550962,true
40,0.000612589,true
40,0.000559778,true
40,0.000546142,true
40,0.000579997,true
40,0.000540442,true
40,0.000605445,true
40,0.000680408,true
40,0.000536243,true
40,0.000552595,true
40,0.000547435,true
40,0.000550671,true
40,0.000556603,true
40,0.000552835,true
40,0.000725364,true
40,0.000554258,true
40,0.000857095,true
40,0.000849491,true
40,0.000920336,true
40,0.000550591,true
40,0.000558766,true
40,0.000568255,true
40,0.000543236,true
40,0.000549399,true
40,0.000727498,true
40,0.000544729,true
40,0.000563505,true
