Matrixsizexsize(random),Time(s),equalsround1e-6
10,3e-05,true
10,4.8e-05,true
10,3.1e-05,true
10,4.1e-05,true
10,4.7e-05,true
10,3.1e-05,true
10,4.6e-05,true
10,4.7e-05,true
10,3.8e-05,true
10,3.1e-05,true
10,3.2e-05,true
10,4.5e-05,true
10,4.6e-05,true
10,6e-05,true
10,3.2e-05,true
10,6e-05,true
10,7.3e-05,true
10,3.2e-05,true
10,4.5e-05,true
10,3.1e-05,true
10,3.1e-05,true
10,3.1e-05,true
10,3.1e-05,true
10,3.1e-05,true
10,3.1e-05,true
10,3e-05,true
10,6.1e-05,true
10,2.6e-05,true
10,4.4e-05,true
10,3.2e-05,true
10,1.8e-05,true
10,2.9e-05,true
10,3.5e-05,true
10,2.9e-05,true
10,2.8e-05,true
10,2.7e-05,true
10,2.6e-05,true
10,1.9e-05,true
10,2.3e-05,true
10,1.8e-05,true
10,2.4e-05,true
10,2e-05,true
10,1.8e-05,true
10,1.7e-05,true
10,1.3e-05,true
10,2.3e-05,true
10,1.3e-05,true
10,2.4e-05,true
10,1.4e-05,true
10,2.2e-05,true
10,3.7e-05,true
10,1.2e-05,true
10,1.2e-05,true
10,1.2e-05,true
10,1.1e-05,true
10,1.1e-05,true
10,1.7e-05,true
10,1.1e-05,true
10,2.6e-05,true
10,1.1e-05,true
10,1.2e-05,true
10,1.1e-05,true
10,3.2e-05,true
10,1.1e-05,true
10,1.2e-05,true
10,1.1e-05,true
10,1.8e-05,true
10,3.2e-05,true
10,2.1e-05,true
10,1.6e-05,true
10,1.4e-05,true
10,1.2e-05,true
10,1.5e-05,true
10,1.2e-05,true
10,3.3e-05,true
10,1.2e-05,true
10,1.4e-05,true
10,1.2e-05,true
10,2.1e-05,true
10,1.1e-05,true
10,1.5e-05,true
10,1.6e-05,true
10,1.7e-05,true
10,1.4e-05,true
10,1.2e-05,true
10,1.5e-05,true
10,2.8e-05,true
10,2.2e-05,true
10,1.2e-05,true
10,1.5e-05,true
10,1.1e-05,true
10,1.5e-05,true
10,2.2e-05,true
10,2.1e-05,true
10,2.5e-05,true
10,1.1e-05,true
10,1.1e-05,true
10,1.9e-05,true
10,1.2e-05,true
10,1.1e-05,true
10,1.1e-05,true
15,3.1e-05,true
15,3.2e-05,true
15,3.3e-05,true
15,3.2e-05,true
15,3.1e-05,true
15,0.000136,true
15,5.3e-05,true
15,5.3e-05,true
15,3.6e-05,true
15,0.000102,true
15,5.5e-05,true
15,8.9e-05,true
15,4.7e-05,true
15,4.1e-05,true
15,7e-05,true
15,4e-05,true
15,3e-05,true
15,3.3e-05,true
15,3.1e-05,true
15,3e-05,true
15,3.2e-05,true
15,8.3e-05,true
15,5.7e-05,true
15,3e-05,true
15,3.9e-05,true
15,4.7e-05,true
15,3.9e-05,true
15,4.9e-05,true
15,8.9e-05,true
15,3.9e-05,true
15,3.2e-05,true
15,4.1e-05,true
15,4.1e-05,true
15,4.9e-05,true
15,3.1e-05,true
15,3.1e-05,true
15,4.6e-05,true
15,3.2e-05,true
15,5.4e-05,true
15,3e-05,true
15,4.4e-05,true
15,3.1e-05,true
15,4e-05,true
15,5e-05,true
15,4.2e-05,true
15,4e-05,true
15,5e-05,true
15,3.2e-05,true
15,3.1e-05,true
15,4.1e-05,true
15,4.4e-05,true
15,3.2e-05,true
15,3.1e-05,true
15,3.6e-05,true
15,3.2e-05,true
15,3.4e-05,true
15,7.2e-05,true
15,4.4e-05,true
15,4.9e-05,true
15,3.5e-05,true
15,4.4e-05,true
15,3e-05,true
15,3.2e-05,true
15,3.4e-05,true
15,3.3e-05,true
15,4e-05,true
15,3.2e-05,true
15,5e-05,true
15,3.3e-05,true
15,4.9e-05,true
15,5.2e-05,true
15,4e-05,true
15,3.3e-05,true
15,3.2e-05,true
15,3.3e-05,true
15,5.8e-05,true
15,4.4e-05,true
15,4.1e-05,true
15,3.9e-05,true
15,4.1e-05,true
15,3.2e-05,true
15,4.7e-05,true
15,3.2e-05,true
15,3.2e-05,true
15,3.2e-05,true
15,4.9e-05,true
15,3.3e-05,true
15,3.3e-05,true
15,4.2e-05,true
15,3.7e-05,true
15,4.1e-05,true
15,3.2e-05,true
15,3.3e-05,true
15,3.4e-05,true
15,3.3e-05,true
15,3.2e-05,true
15,5e-05,true
15,3.3e-05,true
15,6.2e-05,true
15,4.1e-05,true
20,8.4e-05,true
20,0.000102,true
20,9.3e-05,true
20,9.4e-05,true
20,8.4e-05,true
20,7.5e-05,true
20,7.2e-05,true
20,7.3e-05,true
20,8.7e-05,true
20,9.2e-05,true
20,7.1e-05,true
20,8.2e-05,true
20,7.8e-05,true
20,7.2e-05,true
20,0.000122,true
20,9.6e-05,true
20,9e-05,true
20,8.5e-05,true
20,7.2e-05,true
20,7.1e-05,true
20,0.000124,true
20,7.4e-05,true
20,7.5e-05,true
20,8.3e-05,true
20,9.6e-05,true
20,0.000121,true
20,7.3e-05,true
20,7.2e-05,true
20,7.4e-05,true
20,8.8e-05,true
20,0.000112,true
20,0.000107,true
20,7.2e-05,true
20,9.1e-05,true
20,8.6e-05,true
20,0.000105,true
20,8.6e-05,true
20,8.6e-05,true
20,0.000131,true
20,7.2e-05,true
20,8.2e-05,true
20,7.4e-05,true
20,8.4e-05,true
20,7.1e-05,true
20,7.3e-05,true
20,7.7e-05,true
20,7.6e-05,true
20,7.7e-05,true
20,0.000105,true
20,8.8e-05,true
20,0.000115,true
20,9.3e-05,true
20,0.000101,true
20,7.3e-05,true
20,0.000126,true
20,8.7e-05,true
20,9.4e-05,true
20,9.6e-05,true
20,8.8e-05,true
20,9.1e-05,true
20,8.1e-05,true
20,6.5e-05,true
20,6.9e-05,true
20,0.000101,true
20,7.5e-05,true
20,9.8e-05,true
20,7.3e-05,true
20,7.5e-05,true
20,8e-05,true
20,9.6e-05,true
20,8.5e-05,true
20,9.2e-05,true
20,0.000191,true
20,7.3e-05,true
20,8.5e-05,true
20,7.2e-05,true
20,0.00011,true
20,6.7e-05,true
20,7.7e-05,true
20,9.9e-05,true
20,8.2e-05,true
20,7.4e-05,true
20,8.9e-05,true
20,7.3e-05,true
20,7.4e-05,true
20,7.4e-05,true
20,7.3e-05,true
20,8.4e-05,true
20,7.3e-05,true
20,7.8e-05,true
20,7.5e-05,true
20,7.9e-05,true
20,7.4e-05,true
20,7.4e-05,true
20,0.000138,true
20,9.5e-05,true
20,8.5e-05,true
20,7.4e-05,true
20,7.8e-05,true
20,0.000105,true
25,0.000176,true
25,0.000139,true
25,0.000161,true
25,0.000142,true
25,0.000129,true
25,0.000179,true
25,0.000164,true
25,0.000143,true
25,0.000157,true
25,0.000187,true
25,0.000148,true
25,0.000163,true
25,0.000184,true
25,0.000122,true
25,0.000166,true
25,0.000146,true
25,0.000162,true
25,0.00016,true
25,0.000167,true
25,0.000152,true
25,0.000159,true
25,0.000187,true
25,0.000142,true
25,0.00015,true
25,0.000141,true
25,0.000143,true
25,0.000138,true
25,0.000175,true
25,0.000295,true
25,0.000163,true
25,0.000141,true
25,0.000134,true
25,0.000146,true
25,0.000143,true
25,0.000141,true
25,0.000151,true
25,0.000199,true
25,0.00021,true
25,0.00014,true
25,0.000143,true
25,0.000264,true
25,0.000194,true
25,0.000151,true
25,0.000189,true
25,0.000205,true
25,0.000146,true
25,0.000143,true
25,0.000141,true
25,0.000149,true
25,0.000153,true
25,0.000143,true
25,0.000186,true
25,0.000166,true
25,0.00015,true
25,0.000158,true
25,0.000171,true
25,0.000177,true
25,0.000182,true
25,0.000169,true
25,0.000184,true
25,0.00014,true
25,0.000164,true
25,0.000125,true
25,0.000159,true
25,0.000188,true
25,0.00014,true
25,0.000154,true
25,0.000128,true
25,0.000155,true
25,0.000147,true
25,0.000155,true
25,0.000148,true
25,0.000147,true
25,0.000143,true
25,0.000147,true
25,0.000182,true
25,0.00015,true
25,0.000146,true
25,0.000181,true
25,0.000148,true
25,0.000144,true
25,0.000145,true
25,0.000141,true
25,0.000215,true
25,0.000156,true
25,0.000143,true
25,0.000128,true
25,0.000147,true
25,0.000143,true
25,0.000142,true
25,0.000144,true
25,0.000203,true
25,0.000153,true
25,0.000193,true
25,0.000137,true
25,0.00015,true
25,0.000144,true
25,0.000144,true
25,0.000167,true
25,0.000142,true
30,0.000245,true
30,0.000239,true
30,0.000293,true
30,0.000289,true
30,0.000277,true
30,0.000317,true
30,0.000294,true
30,0.000257,true
30,0.000253,true
30,0.000253,true
30,0.000255,true
30,0.000378,true
30,0.000302,true
30,0.000245,true
30,0.000326,true
30,0.000295,true
30,0.000258,true
30,0.000324,true
30,0.000339,true
30,0.000251,true
30,0.000257,true
30,0.000436,true
30,0.000267,true
30,0.000318,true
30,0.000257,true
30,0.000288,true
30,0.000233,true
30,0.000254,true
30,0.000269,true
30,0.000247,true
30,0.000252,true
30,0.000245,true
30,0.00035,true
30,0.000253,true
30,0.000307,true
30,0.000257,true
30,0.000213,true
30,0.000263,true
30,0.000245,true
30,0.000291,true
30,0.000265,true
30,0.00026,true
30,0.000309,true
30,0.000302,true
30,0.000301,true
30,0.00026,true
30,0.000236,true
30,0.000249,true
30,0.000249,true
30,0.000251,true
30,0.000253,true
30,0.000256,true
30,0.000322,true
30,0.00026,true
30,0.00031,true
30,0.000267,true
30,0.000327,true
30,0.000263,true
30,0.000251,true
30,0.000255,true
30,0.000253,true
30,0.000247,true
30,0.000248,true
30,0.000214,true
30,0.000246,true
30,0.000219,true
30,0.000244,true
30,0.000241,true
30,0.000271,true
30,0.00025,true
30,0.000246,true
30,0.000259,true
30,0.000386,true
30,0.000281,true
30,0.000262,true
30,0.000263,true
30,0.000285,true
30,0.000463,true
30,0.00029,true
30,0.000278,true
30,0.000243,true
30,0.000271,true
30,0.000277,true
30,0.000256,true
30,0.000255,true
30,0.000262,true
30,0.00022,true
30,0.000257,true
30,0.000348,true
30,0.000283,true
30,0.000274,true
30,0.000242,true
30,0.000243,true
30,0.000259,true
30,0.000291,true
30,0.00027,true
30,0.000228,true
30,0.000241,true
30,0.00024,true
30,0.000339,true
35,0.000445,true
35,0.000393,true
35,0.000423,true
35,0.000537,true
35,0.000475,true
35,0.000447,true
35,0.000425,true
35,0.000415,true
35,0.000478,true
35,0.0004,true
35,0.000389,true
35,0.000454,true
35,0.000408,true
35,0.000409,true
35,0.000433,true
35,0.000625,true
35,0.000535,true
35,0.00041,true
35,0.000517,true
35,0.000404,true
35,0.000407,true
35,0.000402,true
35,0.000418,true
35,0.000437,true
35,0.000423,true
35,0.000402,true
35,0.000399,true
35,0.000451,true
35,0.000539,true
35,0.00041,true
35,0.000418,true
35,0.000414,true
35,0.000435,true
35,0.000429,true
35,0.000512,true
35,0.000496,true
35,0.00037,true
35,0.000428,true
35,0.000352,true
35,0.000429,true
35,0.000404,true
35,0.000411,true
35,0.000414,true
35,0.000402,true
35,0.000351,true
35,0.000409,true
35,0.000418,true
35,0.000412,true
35,0.000412,true
35,0.000419,true
35,0.000439,true
35,0.000413,true
35,0.00043,true
35,0.000442,true
35,0.000417,true
35,0.00034,true
35,0.000395,true
35,0.000414,true
35,0.000378,true
35,0.00043,true
35,0.000425,true
35,0.000415,true
35,0.000405,true
35,0.000327,true
35,0.000428,true
35,0.000435,true
35,0.000493,true
35,0.000412,true
35,0.000417,true
35,0.000342,true
35,0.000602,true
35,0.000631,true
35,0.000541,true
35,0.000429,true
35,0.000498,true
35,0.000381,true
35,0.000394,true
35,0.000426,true
35,0.000432,true
35,0.000408,true
35,0.000457,true
35,0.000711,true
35,0.000424,true
35,0.00044,true
35,0.000493,true
35,0.000576,true
35,0.000762,true
35,0.000565,true
35,0.000548,true
35,0.000423,true
35,0.000388,true
35,0.0005,true
35,0.000525,true
35,0.000453,true
35,0.000415,true
35,0.00042,true
35,0.000403,true
35,0.000441,true
35,0.000407,true
35,0.000431,true
40,0.000594,true
40,0.000593,true
40,0.000885,true
40,0.000898,true
40,0.000662,true
40,0.000674,true
40,0.000581,true
40,0.000579,true
40,0.000674,true
40,0.000604,true
40,0.000669,true
40,0.000689,true
40,0.0008,true
40,0.000745,true
40,0.000665,true
40,0.000615,true
40,0.000563,true
40,0.000646,true
40,0.000611,true
40,0.000601,true
40,0.000594,true
40,0.000616,true
40,0.000719,true
40,0.000675,true
40,0.000788,true
40,0.000595,true
40,0.000673,true
40,0.000664,true
40,0.000598,true
40,0.000598,true
40,0.000618,true
40,0.000592,true
40,0.000637,true
40,0.000599,true
40,0.00074,true
40,0.000943,true
40,0.000878,true
40,0.000834,true
40,0.000727,true
40,0.000688,true
40,0.000566,true
40,0.000585,true
40,0.000632,true
40,0.000641,true
40,0.000587,true
40,0.000683,true
40,0.000991,true
40,0.000788,true
40,0.000722,true
40,0.000644,true
40,0.000576,true
40,0.000733,true
40,0.000592,true
40,0.000665,true
40,0.000609,true
40,0.00076,true
40,0.000788,true
40,0.000783,true
40,0.000668,true
40,0.000601,true
40,0.000577,true
40,0.000611,true
40,0.000594,true
40,0.000593,true
40,0.000607,true
40,0.000587,true
40,0.000626,true
40,0.000594,true
40,0.000856,true
40,0.000885,true
40,0.000857,true
40,0.000753,true
40,0.000696,true
40,0.000594,true
40,0.000534,true
40,0.000595,true
40,0.000596,true
40,0.000745,true
40,0.000672,true
40,0.000638,true
40,0.000591,true
40,0.000573,true
40,0.000633,true
40,0.000652,true
40,0.000591,true
40,0.000612,true
40,0.000581,true
40,0.000592,true
40,0.000712,true
40,0.00095,true
40,0.000949,true
40,0.000739,true
40,0.000664,true
40,0.000632,true
40,0.000554,true
40,0.000564,true
40,0.000611,true
40,0.000604,true
40,0.00075,true
40,0.000889,true
45,0.00107,true
45,0.000945,true
45,0.000913,true
45,0.000764,true
45,0.000875,true
45,0.000842,true
45,0.000896,true
45,0.000768,true
45,0.000851,true
45,0.000806,true
45,0.000861,true
45,0.000858,true
45,0.000879,true
45,0.001005,true
45,0.001255,true
45,0.001165,true
45,0.001022,true
45,0.000927,true
45,0.000805,true
45,0.000756,true
45,0.000832,true
45,0.000739,true
45,0.00085,true
45,0.000833,true
45,0.000764,true
45,0.000859,true
45,0.000808,true
45,0.001005,true
45,0.001238,true
45,0.001103,true
45,0.000987,true
45,0.000891,true
45,0.000798,true
45,0.000753,true
45,0.00086,true
45,0.000853,true
45,0.000742,true
45,0.000873,true
45,0.000857,true
45,0.000857,true
45,0.000862,true
45,0.000997,true
45,0.000888,true
45,0.000863,true
45,0.00082,true
45,0.000812,true
45,0.000859,true
45,0.000826,true
45,0.00085,true
45,0.000984,true
45,0.001221,true
45,0.001138,true
45,0.000992,true
45,0.000894,true
45,0.000822,true
45,0.000783,true
45,0.000851,true
45,0.000835,true
45,0.000863,true
45,0.000839,true
45,0.000848,true
45,0.000838,true
45,0.001038,true
45,0.001328,true
45,0.001232,true
45,0.001056,true
45,0.00094,true
45,0.000852,true
45,0.000778,true
45,0.000818,true
45,0.000847,true
45,0.000837,true
45,0.000946,true
45,0.001209,true
45,0.000756,true
45,0.000841,true
45,0.000838,true
45,0.000826,true
45,0.001033,true
45,0.001342,true
45,0.00126,true
45,0.001054,true
45,0.000968,true
45,0.000856,true
45,0.000792,true
45,0.000828,true
45,0.000827,true
45,0.000872,true
45,0.000821,true
45,0.001073,true
45,0.001361,true
45,0.001273,true
45,0.001099,true
45,0.000958,true
45,0.000876,true
45,0.001111,true
45,0.000908,true
45,0.000859,true
45,0.000742,true
45,0.000763,true
50,0.001156,true
50,0.001687,true
50,0.001124,true
50,0.001353,true
50,0.001651,true
50,0.001592,true
50,0.001373,true
50,0.001212,true
50,0.001164,true
50,0.001188,true
50,0.001132,true
50,0.001148,true
50,0.001182,true
50,0.001173,true
50,0.001181,true
50,0.001353,true
50,0.001631,true
50,0.001552,true
50,0.001376,true
50,0.001203,true
50,0.001177,true
50,0.001061,true
50,0.001193,true
50,0.001001,true
50,0.001147,true
50,0.001197,true
50,0.00114,true
50,0.001158,true
50,0.001196,true
50,0.001395,true
50,0.001689,true
50,0.001557,true
50,0.001382,true
50,0.001248,true
50,0.001132,true
50,0.001063,true
50,0.001144,true
50,0.001147,true
50,0.001164,true
50,0.001167,true
50,0.001215,true
50,0.001322,true
50,0.001355,true
50,0.001219,true
50,0.00113,true
50,0.001094,true
50,0.001069,true
50,0.001159,true
50,0.001481,true
50,0.001516,true
50,0.001415,true
50,0.001267,true
50,0.001136,true
50,0.001061,true
50,0.00114,true
50,0.001084,true
50,0.001056,true
50,0.001419,true
50,0.001711,true
50,0.001616,true
50,0.001369,true
50,0.00121,true
50,0.001113,true
50,0.001067,true
50,0.001129,true
50,0.001187,true
50,0.001181,true
50,0.001104,true
50,0.001141,true
50,0.001012,true
50,0.00113,true
50,0.001089,true
50,0.001172,true
50,0.001122,true
50,0.001157,true
50,0.001154,true
50,0.001176,true
50,0.001443,true
50,0.001876,true
50,0.001547,true
50,0.001377,true
50,0.001251,true
50,0.001122,true
50,0.001089,true
50,0.001143,true
50,0.001151,true
50,0.00115,true
50,0.001199,true
50,0.001159,true
50,0.001378,true
50,0.001774,true
50,0.001625,true
50,0.001442,true
50,0.001281,true
50,0.001171,true
50,0.001255,true
50,0.001067,true
50,0.001183,true
50,0.001042,true
50,0.001081,true
55,0.001391,true
55,0.001354,true
55,0.001569,true
55,0.001451,true
55,0.001478,true
55,0.001363,true
55,0.001484,true
55,0.001684,true
55,0.001417,true
55,0.001214,true
55,0.001721,true
55,0.002099,true
55,0.001892,true
55,0.001693,true
55,0.001553,true
55,0.001708,true
55,0.001321,true
55,0.001598,true
55,0.001701,true
55,0.002038,true
55,0.001844,true
55,0.00186,true
55,0.001524,true
55,0.00138,true
55,0.001521,true
55,0.001535,true
55,0.00152,true
55,0.001512,true
55,0.001565,true
55,0.001486,true
55,0.001511,true
55,0.001533,true
55,0.001553,true
55,0.001547,true
55,0.00154,true
55,0.001572,true
55,0.001559,true
55,0.00157,true
55,0.001526,true
55,0.00153,true
55,0.001555,true
55,0.001528,true
55,0.001753,true
55,0.001263,true
55,0.001834,true
55,0.001828,true
55,0.00222,true
55,0.001942,true
55,0.001651,true
55,0.001531,true
55,0.001416,true
55,0.001295,true
55,0.00146,true
55,0.001834,true
55,0.001357,true
55,0.001558,true
55,0.001505,true
55,0.001554,true
55,0.001598,true
55,0.001663,true
55,0.001536,true
55,0.001532,true
55,0.001782,true
55,0.002733,true
55,0.002761,true
55,0.001781,true
55,0.00155,true
55,0.001412,true
55,0.001542,true
55,0.001507,true
55,0.001591,true
55,0.001304,true
55,0.001419,true
55,0.001546,true
55,0.001699,true
55,0.001447,true
55,0.001556,true
55,0.00138,true
55,0.001582,true
55,0.001436,true
55,0.001381,true
55,0.001443,true
55,0.001553,true
55,0.001309,true
55,0.001727,true
55,0.001462,true
55,0.001581,true
55,0.001566,true
55,0.001548,true
55,0.001564,true
55,0.001611,true
55,0.001531,true
55,0.001547,true
55,0.001563,true
55,0.001771,true
55,0.002139,true
55,0.002112,true
55,0.001775,true
55,0.001594,true
55,0.001457,true
60,0.001947,true
60,0.002017,true
60,0.002022,true
60,0.002001,true
60,0.002115,true
60,0.002,true
60,0.002004,true
60,0.002023,true
60,0.001917,true
60,0.002129,true
60,0.002757,true
60,0.001751,true
60,0.001958,true
60,0.002015,true
60,0.002082,true
