Matrixsizexsize(random),Time(s),equalsround1e-6
100,0.001635,true
100,0.001436,true
100,0.001899,true
100,0.001891,true
100,0.001423,true
100,0.001425,true
100,0.001424,true
100,0.001433,true
100,0.001436,true
100,0.001416,true
100,0.001447,true
100,0.001430,true
100,0.001418,true
100,0.002358,true
100,0.001897,true
100,0.001415,true
100,0.001417,true
100,0.001440,true
100,0.001728,true
100,0.001831,true
100,0.001456,true
105,0.001701,true
105,0.001807,true
105,0.001892,true
105,0.001734,true
105,0.001747,true
105,0.001665,true
105,0.001710,true
105,0.001900,true
105,0.002056,true
105,0.001669,true
105,0.001667,true
105,0.001664,true
105,0.001993,true
105,0.002348,true
105,0.001952,true
105,0.001664,true
105,0.002427,true
105,0.002571,true
105,0.001671,true
105,0.001675,true
110,0.001834,true
110,0.001874,true
110,0.002234,true
110,0.002463,true
110,0.001854,true
110,0.002289,true
110,0.002150,true
110,0.002278,true
110,0.002924,true
110,0.002075,true
110,0.001904,true
110,0.001858,true
110,0.001818,true
110,0.003082,true
110,0.002493,true
110,0.001853,true
110,0.001914,true
110,0.002675,true
110,0.002450,true
110,0.001906,true
115,0.003124,true
115,0.002169,true
115,0.002186,true
115,0.002958,true
115,0.003521,true
115,0.002945,true
115,0.002120,true
115,0.002270,true
115,0.002867,true
115,0.002126,true
115,0.005710,true
115,0.002133,true
115,0.002237,true
115,0.005506,true
115,0.002200,true
115,0.003008,true
115,0.002485,true
115,0.002142,true
115,0.002252,true
115,0.002882,true
120,0.002955,true
120,0.002322,true
120,0.002332,true
120,0.002403,true
120,0.002841,true
120,0.005642,true
120,0.002639,true
120,0.002664,true
120,0.002399,true
120,0.002315,true
120,0.003189,true
120,0.002328,true
120,0.002382,true
120,0.002530,true
120,0.002334,true
120,0.003932,true
120,0.003212,true
120,0.002376,true
120,0.002437,true
120,0.002424,true
125,0.002778,true
125,0.003497,true
125,0.003267,true
125,0.002720,true
125,0.002697,true
125,0.003211,true
125,0.004569,true
125,0.003416,true
125,0.002902,true
125,0.002812,true
125,0.003878,true
125,0.004554,true
125,0.002757,true
125,0.002666,true
125,0.003966,true
125,0.002752,true
125,0.004555,true
125,0.003301,true
125,0.002701,true
125,0.002834,true
130,0.003046,true
130,0.004083,true
130,0.003201,true
130,0.003062,true
130,0.004682,true
130,0.003360,true
130,0.003053,true
130,0.003261,true
130,0.003058,true
130,0.003073,true
130,0.004101,true
130,0.003775,true
