Matrixsizexsize(random),Time(s),equalsround1e-6
10,0.000887317,true
10,0.00387739,true
10,0.00405538,true
10,0.00647422,true
10,0.00715929,true
10,0.00217422,true
10,0.00389652,true
10,0.00318261,true
10,0.00548581,true
10,0.00376643,true
10,0.00362935,true
10,0.00327731,true
10,0.00364333,true
10,0.0034926,true
10,0.00338153,true
10,0.00538573,true
10,0.00363744,true
10,0.00347117,true
10,0.00382426,true
10,0.00322422,true
10,0.0111596,true
10,0.00322969,true
10,0.00676394,true
10,0.00288956,true
10,0.00343929,true
10,0.00711315,true
10,0.00375183,true
10,0.00359503,true
10,0.00743562,true
10,0.00402518,true
10,0.00306463,true
10,0.00373046,true
10,0.00149219,true
10,0.00679282,true
10,0.00697342,true
10,0.00639572,true
10,0.00250387,true
10,0.00319435,true
10,0.00768823,true
10,0.0108855,true
10,0.00645768,true
10,0.0032834,true
10,0.0037011,true
10,0.00377873,true
10,0.00755903,true
10,0.00254199,true
10,0.00260112,true
10,0.00405346,true
10,0.00739101,true
10,0.00313532,true
10,0.0033262,true
10,0.00659081,true
10,0.0011503,true
10,0.0073208,true
10,0.00388229,true
10,0.00742097,true
10,0.0074075,true
10,0.00319121,true
10,0.00283155,true
10,0.00271762,true
10,0.00313028,true
10,0.00255074,true
10,0.00349406,true
10,0.00758267,true
10,0.00380099,true
10,0.00748978,true
10,0.00355878,true
10,0.00710429,true
10,0.00377768,true
10,0.00353149,true
10,0.00380298,true
10,0.00347203,true
10,0.00379778,true
10,0.00340373,true
10,0.00402606,true
10,0.00358401,true
10,0.00725973,true
10,0.00322693,true
10,0.0034151,true
10,0.00358598,true
10,0.00290816,true
10,0.00542416,true
10,0.00709132,true
10,0.00333527,true
10,0.000918697,true
10,0.00203941,true
10,0.00308541,true
10,0.00379806,true
10,0.00512827,true
10,0.00684178,true
10,0.00550044,true
10,0.00190691,true
10,0.00506001,true
10,0.00489907,true
10,0.00316997,true
10,0.000880934,true
10,0.00107404,true
10,0.00693843,true
10,0.00753889,true
10,0.000857209,true
10,0.00327759,true
15,0.00333917,true
15,0.00330513,true
15,0.00333823,true
15,0.00371111,true
15,0.00402083,true
15,0.00324579,true
15,0.00361544,true
15,0.00339936,true
15,0.00340356,true
15,0.00349647,true
15,0.00366901,true
15,0.00391315,true
15,0.00346496,true
15,0.00359555,true
15,0.00707105,true
15,0.00408223,true
15,0.00557573,true
15,0.00732599,true
15,0.00733233,true
15,0.00355584,true
15,0.00324476,true
15,0.00320843,true
15,0.00343345,true
15,0.00746508,true
15,0.0030948,true
15,0.00317328,true
15,0.0035265,true
15,0.00542525,true
15,0.00379928,true
15,0.00332963,true
15,0.00333213,true
15,0.00679234,true
15,0.00541864,true
15,0.00555116,true
15,0.00361901,true
15,0.0067998,true
15,0.00667541,true
15,0.00773576,true
15,0.00331498,true
15,0.00737096,true
15,0.000161579,true
15,0.00398938,true
15,0.00391232,true
15,0.00319095,true
15,0.00707605,true
15,0.00390247,true
15,0.00307036,true
15,0.00342398,true
15,0.00743303,true
15,0.00319134,true
15,0.00395464,true
15,0.00403876,true
15,0.00339263,true
15,0.0033865,true
15,0.00337463,true
15,0.00338139,true
15,0.00309989,true
15,0.00401351,true
15,0.00345282,true
15,0.00390449,true
15,0.00570457,true
15,0.00358083,true
15,0.0037779,true
15,0.00340516,true
15,0.00711276,true
15,0.00381966,true
15,0.00375259,true
15,0.00416705,true
15,0.00721852,true
15,0.00317864,true
15,0.00677243,true
15,0.00323515,true
15,0.00740852,true
15,0.00725167,true
15,0.00333445,true
15,0.00692763,true
15,0.00562506,true
15,0.00750264,true
15,0.00361515,true
15,0.00348139,true
15,0.00727549,true
15,0.00312873,true
15,0.0033125,true
15,0.00312965,true
15,0.00399641,true
15,0.00554084,true
15,0.00716796,true
15,0.00349466,true
15,0.00721868,true
15,0.00715586,true
15,0.00730576,true
15,0.00335405,true
15,0.00761352,true
15,0.00553986,true
15,0.00751151,true
15,0.00181178,true
15,0.00344475,true
15,0.00668039,true
15,0.00363807,true
15,0.00654273,true
20,0.00354357,true
20,0.00391246,true
20,0.00390001,true
20,0.00308037,true
20,0.00313432,true
20,0.00729761,true
20,0.00365532,true
20,0.00353833,true
20,0.00713061,true
20,0.0035446,true
20,0.00405507,true
20,0.00332922,true
20,0.00731177,true
20,0.00371165,true
20,8.0764e-05,true
20,0.00681344,true
20,0.00672686,true
20,0.00339732,true
20,0.00389482,true
20,0.00316448,true
20,0.000100472,true
20,0.00728503,true
20,0.00671771,true
20,0.00390538,true
20,0.00320629,true
20,0.00404042,true
20,0.00772988,true
20,7.6146e-05,true
20,0.00325812,true
20,0.00332393,true
20,0.00387331,true
20,0.00735502,true
20,0.00688541,true
20,0.0074541,true
20,0.00365021,true
20,0.00583736,true
20,0.00671743,true
20,0.00318781,true
20,0.00674202,true
20,0.00309807,true
20,0.00715926,true
20,0.00596586,true
20,0.0040469,true
20,0.00754019,true
20,0.00705202,true
20,0.00312411,true
20,0.00538445,true
20,0.00596641,true
20,0.00346302,true
20,0.0037583,true
20,0.00632721,true
20,0.00348904,true
20,0.00394499,true
20,0.00329555,true
20,0.00382977,true
20,0.00360641,true
20,0.0033351,true
20,0.00576995,true
20,0.00370439,true
20,0.00326138,true
20,0.00400332,true
20,0.00356167,true
20,0.0065831,true
20,0.00365485,true
20,0.00311728,true
20,0.0035124,true
20,0.00364968,true
20,0.00350619,true
20,0.00590053,true
20,0.00371286,true
20,0.00317827,true
20,0.00320998,true
20,0.000108818,true
20,7.9943e-05,true
20,0.00731903,true
20,0.000132794,true
20,0.00327294,true
20,0.00330945,true
20,0.00382455,true
20,0.00370063,true
20,0.00311258,true
20,0.00355351,true
20,0.00336963,true
20,0.00317133,true
20,0.00353126,true
20,0.00401726,true
20,0.00312564,true
20,0.00308604,true
20,0.00391917,true
20,0.00319115,true
20,0.00368152,true
20,0.00319581,true
20,0.00354172,true
20,0.00311523,true
20,0.00329263,true
20,0.00357987,true
20,0.00355777,true
20,0.00712191,true
20,0.00376154,true
20,0.00652326,true
25,0.00352001,true
25,0.00318619,true
25,0.00549811,true
25,0.00710128,true
25,0.000356612,true
25,0.0039576,true
25,0.00744967,true
25,0.00357646,true
25,0.00343912,true
25,0.0038216,true
25,0.00597898,true
25,0.00387301,true
25,0.000137373,true
25,0.000142673,true
25,0.000122404,true
25,0.00323936,true
25,0.00323051,true
25,0.00368456,true
25,0.00388745,true
25,0.00379518,true
25,0.00307371,true
25,0.00363347,true
25,0.00012021,true
25,0.00720164,true
25,0.00571031,true
25,0.0031243,true
25,0.00378905,true
25,0.00400293,true
25,0.00397631,true
25,0.00314342,true
25,0.00688164,true
25,0.00376416,true
25,0.00380044,true
25,0.000143174,true
25,0.000134667,true
25,0.00393233,true
25,0.00688254,true
25,0.00712248,true
25,0.00375465,true
25,0.00324164,true
25,0.000127554,true
25,0.0064822,true
25,0.00650662,true
25,0.00375786,true
25,0.00378576,true
25,0.00588421,true
25,0.0033087,true
25,0.00307129,true
25,0.00371874,true
25,0.00586637,true
25,0.00685245,true
25,0.00365589,true
25,0.0068253,true
25,0.00376681,true
25,0.00591418,true
25,0.00404097,true
25,0.00405077,true
25,0.00323175,true
25,0.0069971,true
25,0.0037346,true
25,0.00694119,true
25,0.000222996,true
25,0.000137343,true
25,0.00312887,true
25,0.00014116,true
25,0.00640487,true
25,0.00390879,true
25,0.00365893,true
25,0.00683306,true
25,0.00372004,true
25,0.00733529,true
25,0.00309653,true
25,0.0035288,true
25,0.000136711,true
25,0.00371849,true
25,0.00719051,true
25,0.00674444,true
25,0.00316469,true
25,0.00674498,true
25,0.00664681,true
25,0.00730423,true
25,0.00379787,true
25,0.0018257,true
25,0.00316657,true
25,0.00359308,true
25,0.00309937,true
25,0.00360451,true
25,9.0012e-05,true
25,0.00381515,true
25,0.00568036,true
25,0.00699211,true
25,0.00393197,true
25,0.0059279,true
25,0.00364375,true
25,0.00715601,true
25,0.00346372,true
25,0.00345575,true
25,0.00377219,true
25,0.00687198,true
25,0.00638487,true
30,0.000155838,true
30,0.00336962,true
30,0.00381282,true
30,0.003115,true
30,0.00123608,true
30,0.00597369,true
30,0.00613704,true
30,0.00328606,true
30,0.00360545,true
30,0.00586002,true
30,0.000152982,true
30,0.00377927,true
30,0.00351113,true
30,0.00361872,true
30,0.00391399,true
30,0.00362409,true
30,0.00351481,true
30,0.00378683,true
30,0.00365522,true
30,0.00353594,true
30,0.00407358,true
30,0.0068266,true
30,0.00361203,true
30,0.00677495,true
30,0.00576308,true
30,0.00404125,true
30,0.00653491,true
30,0.00392117,true
30,0.000169094,true
30,0.00320608,true
30,0.0064731,true
30,0.003646,true
30,0.00016248,true
30,9.7877e-05,true
30,0.000148073,true
30,0.00347659,true
30,0.00193624,true
30,0.00668942,true
30,0.00316391,true
30,0.00362482,true
30,0.000152241,true
30,0.00363971,true
30,0.000126111,true
30,0.00622793,true
30,0.00327904,true
30,0.00350325,true
30,0.00392477,true
30,0.00378775,true
30,0.000165336,true
30,0.00331136,true
30,0.00388682,true
30,0.00362453,true
30,0.00659841,true
30,0.00324825,true
30,0.00633651,true
30,0.00646317,true
30,0.0031183,true
30,0.00313141,true
30,0.00311781,true
30,0.00293716,true
30,0.00312405,true
30,0.00684082,true
30,0.00392339,true
30,0.00355836,true
30,0.00710301,true
30,0.00375295,true
30,0.00350755,true
30,0.00357811,true
30,0.00647607,true
30,0.00722249,true
30,0.00396648,true
30,0.00624116,true
30,0.000399494,true
30,0.00679218,true
30,0.00701257,true
30,0.00323405,true
30,0.00347197,true
30,0.00335111,true
30,0.00667148,true
30,0.00407839,true
30,0.00322652,true
30,0.00389994,true
30,0.000148344,true
30,0.00599755,true
30,0.00360645,true
30,0.00643118,true
30,0.000106825,true
30,0.00367287,true
30,0.000140138,true
30,0.00361072,true
30,0.00360903,true
30,0.00392979,true
30,0.0031889,true
30,0.00321302,true
30,0.00393524,true
30,0.00633578,true
30,0.00392455,true
30,0.00316465,true
30,0.000194372,true
30,0.00383126,true
35,0.000175756,true
35,0.00386434,true
35,0.00619265,true
35,0.00371034,true
35,0.00341186,true
35,0.00356616,true
35,0.00352554,true
35,0.0031773,true
35,0.000154175,true
35,0.000106804,true
35,0.000145619,true
35,0.00345506,true
35,0.00371257,true
35,0.00665608,true
35,0.000183451,true
35,0.00358119,true
35,0.00341262,true
35,0.00649073,true
35,0.00335779,true
35,0.00335373,true
35,0.00666445,true
35,0.00376571,true
35,0.00307816,true
35,0.00320265,true
35,0.00663534,true
35,0.00642425,true
35,0.00336496,true
35,0.00337899,true
35,0.00402594,true
35,0.00376057,true
35,0.00630521,true
35,0.00668281,true
35,0.00344155,true
35,0.00322215,true
35,0.0033057,true
35,0.000112425,true
35,0.000145188,true
35,0.0038156,true
35,0.0069048,true
35,0.00651388,true
35,0.00368937,true
35,0.00379079,true
35,0.00406238,true
35,0.00346053,true
35,0.00683414,true
35,0.00354311,true
35,0.00308765,true
35,0.0056442,true
35,0.00603377,true
35,0.00011517,true
35,0.00351266,true
35,0.00364286,true
35,0.00662904,true
35,0.00573427,true
35,0.00361334,true
35,0.00318276,true
35,0.00392408,true
35,0.00374439,true
35,0.00011509,true
35,0.00408332,true
35,0.00404837,true
35,0.000337746,true
35,0.00395086,true
35,0.00603529,true
